record,cell_line,representation,r_gamma,r_gamma_normalised,ceiling,replicate,p_value,z,null_mean,null_sd
hallmark_permuted_null,K562,hallmark_null,0.1753136351,0.2930469644,0.59824416,60,,,,
hallmark_permuted_null,K562,hallmark_null,0.2771287144,0.4002834736,0.6923311421,61,,,,
hallmark_permuted_null,K562,hallmark_null,0.285895947,0.4356818412,0.6562034952,62,,,,
hallmark_permuted_null,K562,hallmark_null,0.1091909024,0.1870298557,0.5838153595,63,,,,
hallmark_permuted_null,K562,hallmark_null,0.1516163589,0.2485895864,0.6099063163,64,,,,
hallmark_permuted_null,K562,hallmark_null,0.2012054487,0.3180820442,0.6325583364,65,,,,
hallmark_permuted_null,K562,hallmark_null,0.2318599484,0.3639359188,0.6370900381,66,,,,
hallmark_permuted_null,K562,hallmark_null,0.1765077643,0.2735931591,0.6451468482,67,,,,
hallmark_permuted_null,K562,hallmark_null,0.1612535297,0.2601087856,0.6199464942,68,,,,
hallmark_permuted_null,K562,hallmark_null,0.19339416,0.3070627704,0.6298196286,69,,,,
hallmark_permuted_null,K562,hallmark_null,0.276732884,0.4029042458,0.6868452911,70,,,,
hallmark_permuted_null,K562,hallmark_null,0.2025410244,0.3238926554,0.6253337982,71,,,,
hallmark_permuted_null,K562,hallmark_null,0.2126327773,0.3247212191,0.6548163927,72,,,,
hallmark_permuted_null,K562,hallmark_null,0.1828543809,0.2954652173,0.6188693971,73,,,,
hallmark_permuted_null,K562,hallmark_null,0.1974688712,0.3169066225,0.6231137414,74,,,,
hallmark_permuted_null,K562,hallmark_null,0.1820973334,0.2862166498,0.6362220141,75,,,,
hallmark_permuted_null,K562,hallmark_null,0.2127172748,0.3433145028,0.6195988607,76,,,,
hallmark_permuted_null,K562,hallmark_null,0.2290622654,0.3425972537,0.6686050835,77,,,,
hallmark_permuted_null,K562,hallmark_null,0.1961249263,0.3138014308,0.6249969153,78,,,,
hallmark_permuted_null,K562,hallmark_null,0.1504093119,0.2494267719,0.6030199192,79,,,,
hallmark_permuted_null,K562,hallmark_null,0.1876388478,0.2976219145,0.6304604555,80,,,,
hallmark_permuted_null,K562,hallmark_null,0.1770374846,0.290996381,0.6083838017,81,,,,
hallmark_permuted_null,K562,hallmark_null,0.2525925236,0.3776180067,0.6689101662,82,,,,
hallmark_permuted_null,K562,hallmark_null,0.2369116244,0.3620934637,0.6542830736,83,,,,
hallmark_permuted_null,K562,hallmark_null,0.2231055021,0.3541030524,0.6300581161,84,,,,
hallmark_permuted_null,K562,hallmark_null,0.137067789,0.2268465053,0.6042314332,85,,,,
hallmark_permuted_null,K562,hallmark_null,0.2322016642,0.359647733,0.6456363906,86,,,,
hallmark_permuted_null,K562,hallmark_null,0.1166718038,0.1971672678,0.5917402269,87,,,,
hallmark_permuted_null,K562,hallmark_null,0.1980093613,0.3161980682,0.6262193897,88,,,,
hallmark_permuted_null,K562,hallmark_null,0.2399678864,0.3530692406,0.6796623972,89,,,,
hallmark_permuted_null,K562,hallmark_null,0.2569519861,0.3855653605,0.6664291259,90,,,,
hallmark_permuted_null,K562,hallmark_null,0.2003568268,0.3246985496,0.6170548868,91,,,,
hallmark_permuted_null,K562,hallmark_null,0.1636670756,0.2624417116,0.6236320997,92,,,,
hallmark_permuted_null,K562,hallmark_null,0.1751247632,0.2949464955,0.5937509542,93,,,,
hallmark_permuted_null,K562,hallmark_null,0.2652833678,0.3856052424,0.6879661856,94,,,,
hallmark_permuted_null,K562,hallmark_null,0.150156603,0.2514411667,0.5971838462,95,,,,
hallmark_permuted_null,K562,hallmark_null,0.2100021856,0.3286739717,0.6389376819,96,,,,
hallmark_permuted_null,K562,hallmark_null,0.1513023005,0.2358646985,0.6414792102,97,,,,
hallmark_permuted_null,K562,hallmark_null,0.155541879,0.2643279837,0.5884427248,98,,,,
hallmark_permuted_null,K562,hallmark_null,0.2165190486,0.3316439733,0.6528659227,99,,,,
hallmark_permuted_null,RPE1,hallmark_null,0.0281934986,0.03676586529,0.7668389789,0,,,,
hallmark_permuted_null,RPE1,hallmark_null,-0.007514221889,-0.01015451208,0.7399884729,1,,,,
hallmark_permuted_null,RPE1,hallmark_null,0.02076865826,0.0275978356,0.7525466329,2,,,,
hallmark_permuted_null,RPE1,hallmark_null,-0.02666257383,-0.03752249045,0.7105758041,3,,,,
